Rating (Stars),Number of Reviews,Current MRP,Free Delivery,Brand,Storage,Color,New Bought Last Month,New Dashed MRP,New Discount (%),RAM
4.1,909.0,21999.0,1,vivo,256.0,Green,100,28999,24.0,8.0
3.8,87.0,14498.0,1,vivo,128.0,Red,0,19999,28.0,6.0
4.1,909.0,21999.0,1,vivo,256.0,Gold,100,28999,24.0,8.0
5.0,1.0,23999.0,1,vivo,256.0,Green,50,28999,17.0,8.0
3.4,14.0,8499.0,1,vivo,64.0,Black,50,12999,35.0,4.0
3.7,82.0,10999.0,1,vivo,64.0,Green,0,14999,27.0,4.0
3.7,82.0,10999.0,1,vivo,64.0,Red,50,14999,27.0,4.0
3.8,38.0,9499.0,1,vivo,128.0,Green,100,13999,32.0,4.0
4.1,320.0,19999.0,1,vivo,128.0,Black,100,25999,23.0,8.0
3.8,41.0,24999.0,1,vivo,128.0,Black,0,29999,17.0,8.0
4.0,1.0,31200.0,1,vivo,256.0,Blue,0,39999,22.0,8.0
4.0,33.0,47900.0,1,vivo,256.0,Blue,100,54999,13.0,8.0
4.1,320.0,19999.0,1,vivo,128.0,Black,0,23999,17.0,6.0
3.8,25.0,31800.0,1,vivo,128.0,Blue,100,39999,20.0,8.0
3.5,8.0,23999.0,1,vivo,128.0,Black,50,29999,20.0,8.0
3.9,162.0,7999.0,1,vivo,64.0,Green,50,11999,33.0,4.0
4.2,612.0,49999.0,1,xiaomi,512.0,Green,400,79999,38.0,12.0
4.1,3953.0,23290.0,1,xiaomi,256.0,Black,0,52999,56.0,8.0
4.2,612.0,49999.0,1,xiaomi,512.0,White,300,79999,38.0,12.0
4.1,50.0,18489.0,1,xiaomi,128.0,Red,300,28999,36.0,8.0
3.6,45.0,40999.0,1,xiaomi,256.0,Black,0,54999,25.0,8.0
3.5,54.0,12740.0,1,xiaomi,128.0,Black,0,25999,51.0,8.0
3.9,931.0,31999.0,1,xiaomi,512.0,Black,100,37999,16.0,12.0
3.6,45.0,45850.0,0,xiaomi,512.0,Black,0,59999,24.0,12.0
3.9,931.0,27999.0,0,xiaomi,256.0,Red,400,33999,18.0,8.0
3.9,4003.0,39990.0,0,xiaomi,256.0,Blue,0,79999,50.0,8.0
4.0,2563.0,21499.0,0,xiaomi,128.0,Black,0,49999,57.0,8.0
3.6,45.0,38790.0,0,xiaomi,256.0,Green,0,54999,29.0,8.0
3.9,1515.0,24999.0,0,xiaomi,256.0,Black,50,30999,19.0,8.0
3.7,5918.0,17999.0,1,xiaomi,256.0,Black,300,22999,22.0,8.0
4.1,15056.0,9999.0,1,xiaomi,64.0,White,0,17499,43.0,4.0
3.7,5918.0,16749.0,1,xiaomi,256.0,Red,1000,22999,27.0,8.0
3.9,931.0,23432.0,1,xiaomi,256.0,White,50,33999,31.0,8.0
3.6,45.0,40999.0,1,xiaomi,256.0,Blue,0,54999,25.0,8.0
4.1,3953.0,24280.0,1,xiaomi,128.0,Black,0,49999,51.0,8.0
3.7,5918.0,15449.0,1,xiaomi,128.0,Red,2000,20999,26.0,6.0
4.0,57.0,21910.0,1,xiaomi,256.0,Black,0,32999,34.0,12.0
3.9,931.0,33835.0,1,xiaomi,512.0,Blue,0,44999,25.0,12.0
3.1,129.0,10499.0,1,xiaomi,128.0,Black,0,24999,58.0,6.0
3.9,931.0,29999.0,1,xiaomi,256.0,White,0,35999,17.0,12.0
3.3,11.0,26999.0,1,xiaomi,256.0,Black,0,79999,66.0,8.0
3.9,931.0,29999.0,1,xiaomi,256.0,Black,50,35999,17.0,12.0
4.0,2563.0,25990.0,1,xiaomi,256.0,Black,0,69999,63.0,8.0
3.9,931.0,22850.0,0,xiaomi,256.0,Black,200,33999,33.0,8.0
3.6,45.0,45999.0,0,xiaomi,512.0,Blue,0,59999,23.0,12.0
3.9,1515.0,24999.0,0,xiaomi,256.0,Red,0,30999,19.0,8.0
3.9,931.0,29998.0,0,xiaomi,256.0,Red,100,35999,17.0,12.0
