Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery,Brand,Product,Color,RAM,Storage,New Bought Last Month,New Dashed MRP,New Discount (%)
"Redmi Note 13 Pro (Coral Purple, 8GB RAM, 128GB Storage) Without Offer",3.9,"1,401",300+ bought in past month,19178.0,₹28999,(34% off),Yes,Redmi,Redmi Note 13 Pro ,Red,8GB,128GB,300,28999,34.0
"Redmi Note 13 Pro+ (Fusion White, 12GB RAM, 512GB Storage) | World's First Mediatek 7200 Ultra 5G | 200MP Hi-Res Camera | 1.5K Curved AMOLED | 120W HyperCharge",3.8,863,50+ bought in past month,31999.0,₹37999,(16% off),Yes,Redmi,Redmi Note 13 Pro+ ,White,12GB,512GB,50,37999,16.0
"Xiaomi Redmi 10 Power (Sporty Orange, 8GB RAM, 128GB Storage)",4.1,"2,324",0,14748.0,₹18999,(22% off),Yes,Xiaomi,Xiaomi Redmi 10 Power ,Red,8GB,128GB,0,18999,22.0
"(Refurbished) Xiaomi Mi A3 (Not just Blue, 6GB RAM, AMOLED Display, 128GB Storage, 4030mAH Battery)",3.2,257,0,6999.0,₹13999,(50% off),Yes,Xiaomi,Xiaomi Mi A3 ,Blue,6GB,128GB,0,13999,50.0
"Redmi 12 (Moonstone Silver,6GB RAM, 128GB Storage)",4.0,"1,241",0,9999.0,₹15999,(38% off),Yes,Redmi,Redmi 12 ,Silver,6GB,128GB,0,15999,38.0
"Redmi 7A (Matte Black, 2GB RAM, 32GB Storage)",4.1,"8,014",0,6999.0,₹15999,(56% off),Yes,Redmi,Redmi 7A ,Black,2GB,32GB,0,15999,56.0
"Xiaomi 11T Pro 5G Hyperphone (Meteorite Black, 8GB RAM, 256GB Storage) |SD 888|120W HyperCharge|Segment's only Phone with Dolby Vision+Dolby Atmos",4.0,"2,561",0,25990.0,₹69999,(63% off),Yes,Xiaomi,Xiaomi 11T Pro 5G Hyperphone ,Black,8GB,256GB,0,69999,63.0
"Redmi Note 13 5G (Stealth Black, 6GB RAM, 128GB Storage) | 5G Ready | 120Hz Bezel-Less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-Grade Camera",3.7,"5,707",500+ bought in past month,15999.0,₹20999,(24% off),No,Redmi,Redmi Note 13 5G ,Black,6GB,128GB,500,20999,24.0
"Xiaomi Mi A3 (Not Just Blue, 4GB RAM, 64GB Storage)",4.1,"23,772",0,9999.0,₹17499,(43% off),No,Xiaomi,Xiaomi Mi A3 ,Blue,4GB,64GB,0,17499,43.0
"Redmi Note 13 Pro (Midnight Black, 12GB RAM, 256GB Storage) Without Offer",3.9,"1,401",200+ bought in past month,23490.0,₹32999,(29% off),No,Redmi,Redmi Note 13 Pro ,Black,12GB,256GB,200,32999,29.0
"Redmi Note 13 5G (Stealth Black, 6GB RAM, 128GB Storage) | 5G Ready | 120Hz Bezel-Less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-Grade Camera",3.7,"5,707",500+ bought in past month,15999.0,₹20999,(24% off),No,Redmi,Redmi Note 13 5G ,Black,6GB,128GB,500,20999,24.0
"Redmi Note 13 Pro+ (Fusion Purple, 12GB RAM, 256GB Storage) Without Offer",3.8,863,50+ bought in past month,25499.0,₹35999,(29% off),No,Redmi,Redmi Note 13 Pro+ ,Red,12GB,256GB,50,35999,29.0
"(Refurbished) Xiaomi 12 Pro | 5G (Couture Blue, 8GB RAM, 256GB Storage) | Snapdragon 8 Gen 1 | 50MP+50MP+50MP Flagship Cameras(OIS) | 10 bit 2K+ AMOLED Display",3.5,50,0,27899.0,₹39990,(30% off),No,Xiaomi,Xiaomi 12 Pro | 5G ,Blue,8GB,256GB,0,39990,30.0
"Redmi Note 13 5G (Arctic White, 6GB RAM, 128GB Storage) | 5G Ready | 120Hz Bezel-Less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-Grade Camera",3.7,"5,707",1K+ bought in past month,15999.0,₹20999,(24% off),Yes,Redmi,Redmi Note 13 5G ,White,6GB,128GB,1000,20999,24.0
"(Refurbished) Xiaomi 12 Pro | 5G (Couture Blue, 8GB RAM, 256GB Storage) | Snapdragon 8 Gen 1 | 50MP+50MP+50MP Flagship Cameras(OIS) | 10 bit 2K+ AMOLED Display",3.5,50,0,27899.0,₹39990,(30% off),Yes,Xiaomi,Xiaomi 12 Pro | 5G ,Blue,8GB,256GB,0,39990,30.0
"Redmi Note 8 (Moonlight White, 6GB RAM, 128GB Storage)",4.2,"8,776",0,9999.0,₹16999,(41% off),Yes,Redmi,Redmi Note 8 ,White,6GB,128GB,0,16999,41.0
"Redmi Note 10T 5G (Graphite Black, 6GB RAM, 128GB Storage) | Dual5G | 90Hz Adaptive Refresh Rate | MediaTek Dimensity 700 7nm Processor | 22.5W Charger Included",4.1,"101,748",0,13479.0,₹18999,(29% off),Yes,Redmi,Redmi Note 10T 5G ,Black,6GB,128GB,0,18999,29.0
"Redmi Note 12 Pro 5G (Stardust Purple, 12GB RAM, 256GB Storage)",4.3,213,0,25580.0,₹32999,(22% off),Yes,Redmi,Redmi Note 12 Pro 5G ,Red,12GB,256GB,0,32999,22.0
"(Refurbished) Xiaomi 11i 5G Hypercharge (Pacific Pearl, 6GB RAM, 128GB Storage), (MZB0A55IN)",3.6,4,0,17899.0,₹31999,(44% off),Yes,Xiaomi,Xiaomi 11i 5G Hypercharge ,Black,6GB,128GB,0,31999,44.0
"(Refurbished) Xiaomi 11T Pro 5G Hyperphone(Meteorite Black,8GB RAM,128GB Storage)",3.3,82,0,17999.0,₹24280,(26% off),Yes,Xiaomi,Xiaomi 11T Pro 5G Hyperphone,Black,8GB,128GB,0,24280,26.0
"(Refurbished) Xiaomi 11T Pro 5G Hyperphone(Celestial Magic,8GB RAM,128GB Storage)",3.3,82,0,16999.0,₹21499,(21% off),Yes,Xiaomi,Xiaomi 11T Pro 5G Hyperphone,Black,8GB,128GB,0,21499,21.0
"Redmi Note 13 5G (Arctic White, 6GB RAM, 128GB Storage) | 5G Ready | 120Hz Bezel-Less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-Grade Camera",3.7,"5,707",1K+ bought in past month,15999.0,₹20999,(24% off),Yes,Redmi,Redmi Note 13 5G ,White,6GB,128GB,1000,20999,24.0
"(Refurbished) Xiaomi 11i 5G Hypercharge (Pacific Pearl, 6GB RAM, 128GB Storage), (MZB0A55IN)",3.6,4,0,17899.0,₹31999,(44% off),Yes,Xiaomi,Xiaomi 11i 5G Hypercharge ,Black,6GB,128GB,0,31999,44.0
"(Refurbished) Xiaomi 11T Pro 5G Hyperphone(Meteorite Black,8GB RAM,128GB Storage)",3.3,82,0,17999.0,₹24280,(26% off),Yes,Xiaomi,Xiaomi 11T Pro 5G Hyperphone,Black,8GB,128GB,0,24280,26.0
"Redmi Note 12 Pro 5G (Stardust Purple, 12GB RAM, 256GB Storage)",4.3,213,0,25580.0,₹32999,(22% off),Yes,Redmi,Redmi Note 12 Pro 5G ,Red,12GB,256GB,0,32999,22.0
"(Refurbished) Xiaomi 11T Pro 5G Hyperphone(Moonlight White,8GB RAM,128GB Storage)|SD 888 |120W HyperCharge|6 Months Free Screen Replacement for Prime| Exchange offers|Get 3 months of YouTube Premium free!",3.3,82,0,16999.0,₹21499,(21% off),Yes,Xiaomi,Xiaomi 11T Pro 5G Hyperphone,White,8GB,128GB,0,21499,21.0
"Redmi Note 13 5G (Arctic White, 6GB RAM, 128GB Storage) | 5G Ready | 120Hz Bezel-Less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-Grade Camera",3.7,"5,707",1K+ bought in past month,15999.0,₹20999,(24% off),No,Redmi,Redmi Note 13 5G ,White,6GB,128GB,1000,20999,24.0
"Redmi Note 10T 5G (Graphite Black, 6GB RAM, 128GB Storage) | Dual5G | 90Hz Adaptive Refresh Rate | MediaTek Dimensity 700 7nm Processor | 22.5W Charger Included",4.1,"101,748",0,13479.0,₹18999,(29% off),No,Redmi,Redmi Note 10T 5G ,Black,6GB,128GB,0,18999,29.0
