Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery,Brand,Product,Storage,Color,New Bought Last Month,New Dashed MRP,New Discount (%),RAM
Apple iPhone 15 Pro (1 TB) - Natural Titanium,4.4,7,M.R.P:,149900.0,₹184900,(19% off),1,,,,Red,0,184900.0,19.0,6 GB
Apple iPhone 15 Pro (1 TB) - Blue Titanium,3.4,4,M.R.P:,149900.0,₹184900,(19% off),1,,,,Red,0,184900.0,19.0,6 GB
Apple iPhone 14 Plus (512 GB) - Purple,4.7,12,M.R.P:,89900.0,₹119900,(25% off),1,Apple,iPhone 14 Plus,512GB,Purple,0,119900.0,25.0,6 GB
Apple iPhone 16 (512 GB) - White,4.5,79,,109900.0,,,1,Apple,iPhone 16,512GB,White,0,109900.0,0.0,8 GB
Apple iPhone 14 (256 GB) - (Product) RED,4.4,115,M.R.P:,66900.0,₹89900,(26% off),1,Apple,iPhone 14,256GB,,0,89900.0,26.0,6 GB
(Refurbished) Apple iPhone 16 Plus (128 GB) - Black,4.0,1,New Price:,76415.0,₹86900,(12% off),0,,,,Red,0,86900.0,12.0,8 GB
Apple iPhone 15 Pro Max (1 TB) - White Titanium,4.2,7,M.R.P:,159900.0,₹199900,(20% off),0,,,,Red,0,199900.0,20.0,6 GB
Apple iPhone 16 Pro Max (512 GB) - Natural Titanium,5.0,2,,164900.0,,,0,Apple,iPhone 16 Pro Max,512GB,Natural Titanium,0,164900.0,0.0,8 GB
Apple iPhone 14 Plus (512 GB) - Starlight,4.3,9,M.R.P:,89900.0,₹119900,(25% off),0,Apple,iPhone 14 Plus,512GB,Starlight,0,119900.0,25.0,6 GB
Apple iPhone 15 Pro (1 TB) - Blue Titanium,3.4,4,M.R.P:,149900.0,₹184900,(19% off),0,,,,Red,0,184900.0,19.0,6 GB
Apple iPhone 14 (256 GB) - (Product) RED,4.4,115,M.R.P:,66900.0,₹89900,(26% off),0,Apple,iPhone 14,256GB,,0,89900.0,26.0,6 GB
Apple iPhone 14 Plus (512 GB) - Purple,4.7,12,M.R.P:,89900.0,₹119900,(25% off),0,Apple,iPhone 14 Plus,512GB,Purple,0,119900.0,25.0,6 GB
Apple iPhone 16 (512 GB) - White,4.5,79,,109900.0,,,0,Apple,iPhone 16,512GB,White,0,109900.0,0.0,8 GB
Apple iPhone 14 (256 GB) - Starlight,4.6,98,M.R.P:,69900.0,₹89900,(22% off),1,Apple,iPhone 14,256GB,Starlight,0,89900.0,22.0,6 GB
Apple iPhone 14 Plus (512 GB) - Blue,3.7,14,M.R.P:,89900.0,₹119900,(25% off),1,Apple,iPhone 14 Plus,512GB,Blue,0,119900.0,25.0,6 GB
Apple iPhone 14 Plus (512 GB) - Midnight,4.2,8,M.R.P:,89900.0,₹119900,(25% off),1,Apple,iPhone 14 Plus,512GB,Midnight,0,119900.0,25.0,6 GB
Apple iPhone 14 Plus (512 GB) - Starlight,4.3,9,M.R.P:,89900.0,₹119900,(25% off),1,Apple,iPhone 14 Plus,512GB,Starlight,0,119900.0,25.0,6 GB
Apple iPhone 12 Pro Max (128GB) - Pacific Blue,4.6,446,M.R.P:,109000.0,₹119900,(9% off),1,Apple,iPhone 12 Pro Max,128GB,Pacific Blue,0,119900.0,9.0,4 GB
