rating_stars,number_of_reviews,bought_last_month,original_mrp,discount%,free_delivery,storage_in_GB,RAM_in_GB,brand_apple,brand_oneplus,brand_oppo,brand_realme,brand_samsung,brand_vivo,brand_xiaomi,color_Black,color_Black Titanium,color_Blue,color_Blue Titanium,color_Desert Titanium,color_Gold,color_Graphite,color_Gray,color_Green,color_Midnight,color_Natural Titanium,color_Pacific Blue,color_Pink,color_Purple,color_Red,color_Silver,color_Space Black,color_Starlight,color_Teal,color_Ultramarine,color_White,color_White Titanium,color_Yellow
0.8,-0.18802763482193177,-0.37072693146886204,0.6782236319879893,-0.569231,-1,0.3369567054572136,-0.6535723102362648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.8,-0.08464665061954375,-0.45407797776463416,2.6038177594474576,-0.630769,-1,-0.6589744436774078,-0.6535723102362648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.8,-0.18464601384334897,-0.37072693146886204,0.47137686525092565,-0.6,-1,-0.6589744436774078,-0.6535723102362648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,-0.18436996315121978,-0.45407797776463416,2.177329580608151,-0.507692,-1,0.3369567054572136,-0.6535723102362648,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.85,-0.19209938253083758,-0.45407797776463416,2.6038177594474576,-0.415385,-1,2.3288190037264562,-0.6535723102362648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.7,-0.18464601384334897,-0.41240245461674807,0.8914677214076425,-0.6,-1,0.3369567054572136,-0.6535723102362648,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,-0.16042256560901108,-0.45407797776463416,0.47137686525092565,-0.6,-1,-0.6589744436774078,-0.6535723102362648,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.55,-0.18871776155225478,-0.41240245461674807,0.6846209546705788,-0.907692,-1,-0.6589744436774078,0.1600031796843969,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.65,-0.18995998966683622,-0.45407797776463416,0.897865044090232,-0.230769,-1,0.3369567054572136,-0.6535723102362648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.8,-0.17470818892669754,-0.45407797776463416,0.46497954256833607,-0.446154,-1,-0.6589744436774078,-0.6535723102362648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.8,-0.1689801370650165,-0.45407797776463416,0.46497954256833607,-0.446154,-1,-0.6589744436774078,-0.6535723102362648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.55,-0.18871776155225478,-0.41240245461674807,0.897865044090232,-0.938462,-1,0.3369567054572136,0.1600031796843969,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.75,-0.18312773503663834,-0.45407797776463416,1.5375973123491917,-1.0,-1,-0.6589744436774078,-0.6535723102362648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.35,-0.19189234451174067,-0.45407797776463416,0.897865044090232,-0.384615,-1,2.3288190037264562,-0.6535723102362648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.5,-0.19203036985780528,-0.45407797776463416,1.1111091335098853,-0.569231,-1,2.3288190037264562,-0.6535723102362648,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,-0.18692343205341494,-0.45407797776463416,1.1111091335098853,-1.0,-1,2.3288190037264562,0.1600031796843969,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.3,-0.19196135718477297,-0.45407797776463416,2.475871305795666,-0.384615,-1,2.3288190037264562,-0.6535723102362648,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.65,-0.18374884909392905,-0.45407797776463416,0.6846209546705788,-0.2,-1,0.3369567054572136,-0.6535723102362648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.55,-0.18871776155225478,-0.41240245461674807,0.897865044090232,-0.938462,-1,0.3369567054572136,0.1600031796843969,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.4,-0.18933887560954551,-0.45407797776463416,1.9640854911884982,-1.0,-1,2.3288190037264562,0.1600031796843969,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.6,-0.19203036985780528,-0.45407797776463416,2.6038177594474576,-0.415385,-1,2.3288190037264562,-0.6535723102362648,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
